dataset,stem,eval_set,L,n_rollouts,oracle_r_precision,oracle_long_r_precision,mean_r_precision,mean_long_r_precision,consensus_r_precision,consensus_long_r_precision,oracle_rollout,mean_contacts,unique_maps,mean_pairwise_jaccard,n_true,oracle_curve,inference_seconds
foldbench_monomer,7pv5_A,eval-val,81,100,0.3064516129032258,0.2903225806451613,0.13079625914273407,0.08533073372124036,0.296875,0.21951219512195122,95,48.24,100,0.0363381538565852,64,"{'1': 0.1320754716981132, '2': 0.1320754716981132, '4': 0.1320754716981132, '8': 0.16129032258064516, '16': 0.1891891891891892, '32': 0.1951219512195122, '64': 0.2727272727272727, '100': 0.3064516129032258}",1.065494709997438
foldbench_monomer,7qp5_A,eval-val,245,100,0.13513513513513514,0.13114754098360656,0.06173549744780589,0.025449701045372534,0.14107883817427386,0.048484848484848485,89,130.76,100,0.022798383162083668,241,"{'1': 0.058823529411764705, '2': 0.12, '4': 0.12, '8': 0.12, '16': 0.12, '32': 0.12, '64': 0.12, '100': 0.13513513513513514}",5.897814571042545
foldbench_monomer,7qsj_A,eval-val,373,100,0.11855670103092783,0.07432432432432433,0.05363324295556821,0.025745902914168874,0.1642651296829971,0.061946902654867256,11,259.57,100,0.01668943637871813,347,"{'1': 0.03431372549019608, '2': 0.046296296296296294, '4': 0.06542056074766354, '8': 0.0811965811965812, '16': 0.11855670103092783, '32': 0.11855670103092783, '64': 0.11855670103092783, '100': 0.11855670103092783}",15.472984347958118
foldbench_monomer,7t9r_A,eval-val,38,100,0.3157894736842105,0.6666666666666666,0.07511097474973838,0.027595238095238096,0.125,0.0,84,20.44,100,0.04700583466858248,24,"{'1': 0.08333333333333333, '2': 0.125, '4': 0.15789473684210525, '8': 0.15789473684210525, '16': 0.15789473684210525, '32': 0.21428571428571427, '64': 0.2222222222222222, '100': 0.3157894736842105}",0.9893011129461229
foldbench_monomer,7tjb_A,eval-val,227,100,0.17142857142857143,0.16842105263157894,0.10616800524956706,0.08309604133016127,0.22885572139303484,0.22388059701492538,24,140.85,100,0.037142124228136245,201,"{'1': 0.08441558441558442, '2': 0.09917355371900827, '4': 0.11764705882352941, '8': 0.15254237288135594, '16': 0.15254237288135594, '32': 0.17142857142857143, '64': 0.17142857142857143, '100': 0.17142857142857143}",5.075816105934791
foldbench_monomer,7tlh_A,eval-val,136,100,0.125,0.16666666666666666,0.05312102752592161,0.04100749708465441,0.08771929824561403,0.05194805194805195,40,61.59,100,0.017938364914196328,114,"{'1': 0.017857142857142856, '2': 0.06557377049180328, '4': 0.06557377049180328, '8': 0.07017543859649122, '16': 0.09375, '32': 0.12121212121212122, '64': 0.125, '100': 0.125}",1.8843759479932487
foldbench_monomer,7uba_A,eval-val,213,100,0.12727272727272726,0.17391304347826086,0.05807198675634921,0.03762537700789262,0.11057692307692307,0.072992700729927,39,114.99,100,0.027105713273404913,208,"{'1': 0.07407407407407407, '2': 0.11458333333333333, '4': 0.11458333333333333, '8': 0.11458333333333333, '16': 0.11458333333333333, '32': 0.11458333333333333, '64': 0.12727272727272726, '100': 0.12727272727272726}",4.49291967402678
foldbench_monomer,7uk8_A,eval-val,394,100,0.07450980392156863,0.055248618784530384,0.03796504251914763,0.022191611333564322,0.0817490494296578,0.052763819095477386,78,318.36,100,0.018301337681989972,526,"{'1': 0.03081232492997199, '2': 0.03081232492997199, '4': 0.05555555555555555, '8': 0.055900621118012424, '16': 0.055900621118012424, '32': 0.055900621118012424, '64': 0.06896551724137931, '100': 0.07450980392156863}",18.094771315925755
foldbench_monomer,7ur2_A,eval-val,195,100,0.13636363636363635,0.1568627450980392,0.06465916073767232,0.05644992751083757,0.1386861313868613,0.125,95,110.05,100,0.02577615415296796,137,"{'1': 0.06542056074766354, '2': 0.06542056074766354, '4': 0.06542056074766354, '8': 0.08139534883720931, '16': 0.09210526315789473, '32': 0.0963855421686747, '64': 0.11224489795918367, '100': 0.13636363636363635}",3.4834742170060053
foldbench_monomer,7urp_A,eval-val,160,100,0.1527777777777778,0.1590909090909091,0.05332979399811249,0.03373988142230393,0.12686567164179105,0.07142857142857142,83,92.37,100,0.03271878187628133,134,"{'1': 0.047619047619047616, '2': 0.047619047619047616, '4': 0.05, '8': 0.06521739130434782, '16': 0.10416666666666667, '32': 0.10416666666666667, '64': 0.11267605633802817, '100': 0.1527777777777778}",2.0146081290440634
foldbench_monomer,7uvg_A,eval-val,183,100,0.13043478260869565,0.16666666666666666,0.06052461564567237,0.04891401599495324,0.15168539325842698,0.1328125,88,102.31,100,0.03449214934696433,178,"{'1': 0.05263157894736842, '2': 0.0641025641025641, '4': 0.0641025641025641, '8': 0.09183673469387756, '16': 0.125, '32': 0.125, '64': 0.125, '100': 0.13043478260869565}",2.9443842329783365
foldbench_monomer,7uww_A,eval-val,635,100,0.040995607613469986,0.0189873417721519,0.02490287772451207,0.006635866252263655,0.06782106782106782,0.004219409282700422,38,702.77,100,0.02577268539085084,693,"{'1': 0.03869047619047619, '2': 0.03869047619047619, '4': 0.03869047619047619, '8': 0.03869047619047619, '16': 0.03869047619047619, '32': 0.03869047619047619, '64': 0.040995607613469986, '100': 0.040995607613469986}",60.24266704090405
foldbench_monomer,7v3o_A,eval-val,328,100,0.09923664122137404,0.07526881720430108,0.04592835934921124,0.019903220373500077,0.07352941176470588,0.0427807486631016,67,201.73,100,0.016727406730064957,272,"{'1': 0.034482758620689655, '2': 0.034482758620689655, '4': 0.08333333333333333, '8': 0.08333333333333333, '16': 0.08333333333333333, '32': 0.08333333333333333, '64': 0.08333333333333333, '100': 0.09923664122137404}",9.865074626985006
foldbench_monomer,7w15_A,eval-val,302,100,0.10919540229885058,0.06593406593406594,0.060972445378570675,0.026319342846678605,0.15841584158415842,0.07106598984771574,27,197.89,100,0.02378279543296333,303,"{'1': 0.06467661691542288, '2': 0.06467661691542288, '4': 0.08695652173913043, '8': 0.08695652173913043, '16': 0.08695652173913043, '32': 0.10919540229885058, '64': 0.10919540229885058, '100': 0.10919540229885058}",9.077346053090878
foldbench_monomer,7wz5_A,eval-val,161,100,0.09433962264150944,0.13333333333333333,0.02686080404780466,0.02461242136388481,0.035398230088495575,0.038834951456310676,23,75.02,100,0.02030472734628903,113,"{'1': 0.02631578947368421, '2': 0.028985507246376812, '4': 0.028985507246376812, '8': 0.028985507246376812, '16': 0.07246376811594203, '32': 0.09433962264150944, '64': 0.09433962264150944, '100': 0.09433962264150944}",2.2820932479808107
foldbench_monomer,7wzm_A,eval-val,492,100,0.08099688473520249,0.042735042735042736,0.0346102109577456,0.018564856901872415,0.07894736842105263,0.029850746268656716,97,405.19,100,0.019018765269989125,456,"{'1': 0.052941176470588235, '2': 0.052941176470588235, '4': 0.052941176470588235, '8': 0.052941176470588235, '16': 0.052941176470588235, '32': 0.053164556962025315, '64': 0.0647887323943662, '100': 0.08099688473520249}",30.682635252946056
foldbench_monomer,7x3h_A,eval-val,290,100,0.12352941176470589,0.11926605504587157,0.06889795887196985,0.03638515186469951,0.17567567567567569,0.07142857142857142,66,182.16,100,0.02156887543578838,296,"{'1': 0.05056179775280899, '2': 0.06569343065693431, '4': 0.08641975308641975, '8': 0.08641975308641975, '16': 0.10215053763440861, '32': 0.12169312169312169, '64': 0.12169312169312169, '100': 0.12352941176470589}",8.384982533054426
foldbench_monomer,7x4p_A,eval-val,307,100,0.13855421686746988,0.11842105263157894,0.06013736562396582,0.03469811285620052,0.15615615615615616,0.08713692946058091,80,184.83,100,0.0182695296245729,333,"{'1': 0.0949367088607595, '2': 0.0949367088607595, '4': 0.0949367088607595, '8': 0.0949367088607595, '16': 0.0949367088607595, '32': 0.125, '64': 0.125, '100': 0.13855421686746988}",9.457644196925685
foldbench_monomer,7x8l_A,eval-val,514,100,0.048458149779735685,0.037900874635568516,0.023170193374255358,0.014537459187587181,0.05,0.025,33,456.86,100,0.018139598716434127,580,"{'1': 0.03532008830022075, '2': 0.03827751196172249, '4': 0.03827751196172249, '8': 0.03827751196172249, '16': 0.03827751196172249, '32': 0.03827751196172249, '64': 0.048458149779735685, '100': 0.048458149779735685}",35.0561550949933
foldbench_monomer,7xcd_A,eval-val,178,100,0.16216216216216217,0.14705882352941177,0.05434288919552137,0.041064474449482094,0.12837837837837837,0.10679611650485436,79,91.38,100,0.023100215965507355,148,"{'1': 0.02702702702702703, '2': 0.10344827586206896, '4': 0.10344827586206896, '8': 0.10344827586206896, '16': 0.10344827586206896, '32': 0.10526315789473684, '64': 0.14516129032258066, '100': 0.16216216216216217}",2.7398911269847304
foldbench_monomer,7xg9_A,eval-val,288,100,0.16666666666666666,0.19727891156462585,0.09805200216790137,0.09734178129431965,0.2033195020746888,0.19402985074626866,96,180.35,100,0.03909598472425529,241,"{'1': 0.07936507936507936, '2': 0.08152173913043478, '4': 0.14285714285714285, '8': 0.14285714285714285, '16': 0.14720812182741116, '32': 0.14720812182741116, '64': 0.1513157894736842, '100': 0.16666666666666666}",7.201349949929863
foldbench_monomer,7xi5_A,eval-val,65,100,0.44,1.0,0.21110543580032573,0.20361894722924134,0.2857142857142857,0.2608695652173913,35,26.45,100,0.07725697840392948,42,"{'1': 0.20689655172413793, '2': 0.20689655172413793, '4': 0.23529411764705882, '8': 0.3103448275862069, '16': 0.34782608695652173, '32': 0.42857142857142855, '64': 0.44, '100': 0.44}",0.7576522500021383
foldbench_monomer,7xjr_A,eval-val,337,100,0.10931174089068826,0.09836065573770492,0.05924655612181232,0.04395704461646457,0.1384180790960452,0.10909090909090909,15,247.87,100,0.01748749041717594,354,"{'1': 0.08260869565217391, '2': 0.08366533864541832, '4': 0.10176991150442478, '8': 0.10176991150442478, '16': 0.10931174089068826, '32': 0.10931174089068826, '64': 0.10931174089068826, '100': 0.10931174089068826}",12.087116588954814
foldbench_monomer,7xlz_A,eval-val,266,100,0.12903225806451613,0.14457831325301204,0.06922764790618817,0.0406922156612209,0.1320754716981132,0.08620689655172414,28,172.53,100,0.03283818121136943,265,"{'1': 0.047619047619047616, '2': 0.053691275167785234, '4': 0.09722222222222222, '8': 0.09722222222222222, '16': 0.09770114942528736, '32': 0.12903225806451613, '64': 0.12903225806451613, '100': 0.12903225806451613}",6.93458914803341
foldbench_monomer,7xp9_A,eval-val,84,100,0.3157894736842105,0.6666666666666666,0.1340264348760903,0.11557820477508862,0.2222222222222222,0.2962962962962963,19,35.6,100,0.061075691154930466,45,"{'1': 0.125, '2': 0.125, '4': 0.25, '8': 0.25, '16': 0.25, '32': 0.3157894736842105, '64': 0.3157894736842105, '100': 0.3157894736842105}",0.7556492610601708
foldbench_monomer,7xq4_A,eval-val,514,100,0.057065217391304345,0.03,0.032859675313134766,0.011482942233136817,0.07415254237288135,0.0029850746268656717,85,411.1,100,0.02291833179670608,472,"{'1': 0.056451612903225805, '2': 0.056451612903225805, '4': 0.056451612903225805, '8': 0.056451612903225805, '16': 0.056451612903225805, '32': 0.056451612903225805, '64': 0.056657223796033995, '100': 0.057065217391304345}",35.02032818098087
